iso,region,d_obs,d_pred,d_itn,years
MOZ,Gaza,0.202025513012456,-0.0627917401637359,-0.07789999999999997,7
MOZ,Inhambane,0.07769372311826198,-0.101907931027025,-0.07789999999999997,7
MOZ,Manica,0.0438853998540559,-0.0939368528634428,-0.07789999999999997,7
MOZ,Maputo,0.1797784192437031,-0.0343617314334336,-0.07789999999999997,7
MOZ,Nampula,-0.27719968571586606,-0.1039332128459925,-0.07789999999999997,7
MOZ,Niassa,0.0012361110434899736,-0.12448195038009299,-0.07789999999999997,7
MOZ,Sofala,0.079239685076237,-0.11457888598077859,-0.07789999999999997,7
MOZ,Tete,0.023022156386850012,-0.11838142162342159,-0.07789999999999997,7
MOZ,Zambezia,-0.20609222128461097,-0.10430128507604214,-0.07789999999999997,7
MRT,Assaba,-0.0491570170965233,-0.04330425215713861,0.05499999999999999,7
MRT,Brakna,-0.0017734782717086991,-0.019971137242694,0.05499999999999999,7
MRT,Gorgol,0.003334239435917201,-0.0109216022023239,0.05499999999999999,7
MRT,Guidimakha,-0.043509290473289594,-0.0325929447675377,0.05499999999999999,7
MRT,Hodh Ech Chargi,-0.11979737673013051,-0.07592274551997151,0.05499999999999999,7
MRT,Hodh El Gharbi,-0.0675880378923158,-0.05719985423144539,0.05499999999999999,7
MRT,Nouakchott,0.021545617757395098,-0.0093940854922594,0.05499999999999999,7
MRT,Tagant,-0.04778446312739589,-0.039217830396457,0.05499999999999999,7
MRT,Trarza,0.0060464544856456,-0.0154986195546256,0.05499999999999999,7
MWI,Central Region,-0.025909945505301013,-0.1300073760054917,0.3052,7
MWI,Northern Region,-0.02671573439742711,-0.11097350426621201,0.3052,7
MWI,Southern Region,0.044706702467447984,-0.1071731299194745,0.3052,7
NER,Agadez,0.0016079516786151882,-0.039210870904321404,0.2471,7
NER,Diffa,-0.024228290893945,-0.0895062024528784,0.2471,7
NER,Dosso,-0.235634392212228,-0.10786114159894938,0.2471,7
NER,Maradi,-0.048488782717686,-0.1429322740424696,0.2471,7
NER,Niamey,-0.10275664621338598,-0.1370309991260867,0.2471,7
NER,Tahoua,-0.12010665148903302,-0.1495079463892718,0.2471,7
NER,Tillabery,-0.07880751552683099,-0.14330978828950247,0.2471,7
NER,Zinder,0.0026002455973259953,-0.1132108494941817,0.2471,7
NGA,Abia,0.18306699561796097,-0.0643755922663173,-0.041100000000000025,7
NGA,Abuja,0.11654821879016108,-0.0577205440561289,-0.041100000000000025,7
NGA,Adamawa,0.015324827056610008,-0.09788494258751189,-0.041100000000000025,7
NGA,Akwa Ibom,0.1696297896203971,-0.0742001225287103,-0.041100000000000025,7
NGA,Anambra,0.11265685018787201,-0.0483641612375657,-0.041100000000000025,7
NGA,Bauchi,0.08137299496320899,-0.09005702843604578,-0.041100000000000025,7
NGA,Bayelsa,0.015248100218232002,-0.0970872539732639,-0.041100000000000025,7
NGA,Benue,0.055592011596567986,-0.0976173307377814,-0.041100000000000025,7
NGA,Borno,0.05247225080602,-0.0796718287840989,-0.041100000000000025,7
NGA,Cross River,0.060995054134466986,-0.09839181471463279,-0.041100000000000025,7
NGA,Delta,0.010314912132036003,-0.0775484636048091,-0.041100000000000025,7
NGA,Ebonyi,0.018439662075557084,-0.09846324620699569,-0.041100000000000025,7
NGA,Edo,0.015180776118302014,-0.0976239727477977,-0.041100000000000025,7
