lat,lon,AIRS3STM_006_RelHumSurf_D
-87.5,-66.5,86.3375
-87.5,-65.5,86.71875
-87.5,-64.5,85.91827
-87.5,-63.5,86.4276
-87.5,-62.5,86.9879
-87.5,-61.5,86.38032
-87.5,-60.5,85.59684
-87.5,-59.5,85.73098
-87.5,-58.5,85.88239
-87.5,-57.5,85.41854
-87.5,-56.5,85.675285
-87.5,-55.5,86.29916
-87.5,-54.5,85.443115
-87.5,-53.5,86.34574
-87.5,-52.5,86.73619
-87.5,-51.5,85.44711
-87.5,-50.5,85.83585
-87.5,-49.5,85.82105
-87.5,-48.5,85.45131
-87.5,-47.5,85.45742
-87.5,-46.5,86.27177
-87.5,-45.5,86.83889
-87.5,-44.5,86.463036
-87.5,-43.5,85.44673
-87.5,-42.5,86.07877
-87.5,-41.5,86.01344
-87.5,-40.5,85.76018
-87.5,-39.5,86.639046
-87.5,-38.5,86.74641
-87.5,-37.5,86.6622
-87.5,-36.5,86.15625
-87.5,-35.5,86.31601
-87.5,-34.5,86.299416
-87.5,-33.5,86.28274
-87.5,-32.5,85.95461
-87.5,-31.5,85.71875
-87.5,-30.5,86.22727
-87.5,-29.5,86.88971
-87.5,-28.5,85.534164
-87.5,-27.5,86.82656
-87.5,-26.5,86.875
-87.5,-25.5,86.68046
-87.5,-24.5,87.33088
-87.5,-23.5,86.486664
-87.5,-22.5,87.220436
-87.5,-21.5,87.75771
-87.5,-20.5,86.55142
-87.5,-19.5,87.8051
-87.5,-18.5,87.55532
-87.5,-17.5,86.79392
-87.5,-16.5,87.8225
-87.5,-15.5,86.83562
-87.5,-14.5,87.36699
-87.5,-13.5,87.18579
-87.5,-12.5,87.77631
-87.5,-11.5,87.07601
-87.5,-10.5,86.80099
-87.5,-9.5,86.0625
-87.5,-8.5,86.97271
-87.5,-7.5,87.515205
-87.5,-6.5,86.91493
-87.5,-5.5,86.63028
-87.5,-4.5,87.75338
-87.5,-3.5,87.32939
-87.5,-2.5,87.109825
-87.5,-1.5,87.60473
-87.5,-0.5,87.60577
-87.5,0.5,86.40127
-87.5,1.5,86.35689
-87.5,2.5,86.866196
-87.5,3.5,85.617424
-87.5,4.5,86.17679
-87.5,5.5,87.63292
-87.5,6.5,86.83916
