lat,lon,AIRS3STM_006_RelHumSurf_A
-88.5,-63.5,85.07253
-88.5,-62.5,86.675674
-88.5,-61.5,85.79649
-88.5,-60.5,86.236885
-88.5,-59.5,85.61328
-88.5,-58.5,85.37923
-88.5,-57.5,86.53328
-88.5,-56.5,85.8675
-88.5,-55.5,86.17564
-88.5,-54.5,85.44145
-88.5,-53.5,86.085365
-88.5,-52.5,86.46833
-88.5,-51.5,86.011444
-88.5,-50.5,86.22204
-88.5,-49.5,85.558495
-88.5,-48.5,86.24188
-88.5,-47.5,85.04441
-88.5,-46.5,85.490036
-88.5,-45.5,85.40747
-88.5,-44.5,84.628204
-88.5,-43.5,85.532936
-88.5,-42.5,85.13767
-88.5,-41.5,84.70634
-88.5,-40.5,85.6951
-88.5,-39.5,86.137955
-88.5,-38.5,86.659454
-88.5,-37.5,84.91119
-88.5,-36.5,84.228615
-88.5,-35.5,85.28768
-88.5,-34.5,85.95937
-88.5,-33.5,85.60714
-88.5,-32.5,85.1711
-88.5,-31.5,85.16614
-88.5,-30.5,84.73849
-88.5,-29.5,84.77825
-88.5,-28.5,85.48766
-88.5,-27.5,85.302345
-88.5,-26.5,86.54327
-88.5,-25.5,86.43287
-88.5,-24.5,85.31493
-88.5,-23.5,84.545135
-88.5,-22.5,85.44278
-88.5,-21.5,86.692184
-88.5,-20.5,86.304794
-88.5,-19.5,85.96997
-88.5,-18.5,85.05268
-88.5,-17.5,84.90625
-88.5,-16.5,85.52951
-88.5,-15.5,85.4778
-88.5,-14.5,86.88133
-88.5,-13.5,85.128426
-88.5,-12.5,86.02226
-88.5,-11.5,85.65753
-88.5,-10.5,84.86607
-88.5,-9.5,85.01234
-88.5,-8.5,86.485916
-88.5,-7.5,86.15845
-88.5,-6.5,85.6276
-88.5,-5.5,85.45772
-88.5,-4.5,86.383446
-88.5,-3.5,86.25411
-88.5,-2.5,86.5304
-88.5,-1.5,85.96528
-88.5,-0.5,86.54359
-88.5,0.5,86.05519
-88.5,1.5,85.258156
-88.5,2.5,85.33732
-88.5,3.5,86.061584
-88.5,4.5,85.914474
-88.5,5.5,86.12212
-88.5,6.5,86.46072
-88.5,7.5,86.58582
-88.5,8.5,86.415764
-88.5,9.5,86.452896
-88.5,10.5,85.959885
-88.5,11.5,86.47718
-88.5,12.5,86.74662
-88.5,13.5,85.82276
-88.5,14.5,86.72535
-88.5,15.5,85.838234
-88.5,16.5,87.11673
-88.5,17.5,85.869644
-88.5,18.5,85.288734
-88.5,19.5,84.81975
-88.5,20.5,86.16123
-88.5,21.5,86.375946
-88.5,22.5,86.444855
-88.5,23.5,85.48926
-88.5,24.5,86.29911
-88.5,25.5,84.42279
-88.5,26.5,86.887695
-88.5,27.5,86.33008
-88.5,28.5,86.29911
-88.5,29.5,86.140205
-88.5,30.5,86.2808
-88.5,31.5,85.68569
-88.5,32.5,85.261536
-88.5,33.5,86.238556
-88.5,34.5,85.275566
-88.5,35.5,85.253845
-88.5,36.5,86.01838
-88.5,37.5,85.44643
-88.5,38.5,84.39088
-88.5,39.5,86.32353
-88.5,40.5,86.239586
-88.5,41.5,85.63281
-88.5,42.5,85.00933
-88.5,43.5,85.16146
-88.5,44.5,85.66211
-88.5,45.5,85.77308
-88.5,46.5,85.807205
-88.5,47.5,85.04712
-88.5,48.5,86.48154
-88.5,49.5,86.305145
-88.5,50.5,85.89844
-88.5,51.5,85.334015
-88.5,52.5,85.896484
-88.5,53.5,85.59836
-88.5,54.5,84.572075
