lat,lon,GLDAS_NOAH10_M_2_1_Tair_f_inst
-25.5,24.5,294.99252
-25.5,25.5,293.06525
-25.5,26.5,292.05096
-25.5,27.5,292.23273
-25.5,28.5,292.43616
-25.5,29.5,290.71594
-25.5,30.5,289.452
-25.5,31.5,293.5788
-25.5,32.5,296.1076
-25.5,45.5,296.9274
-25.5,114.5,298.01608
-25.5,115.5,298.68036
-25.5,116.5,298.24664
-25.5,117.5,298.13126
-25.5,118.5,297.6249
-25.5,119.5,297.13257
-25.5,120.5,296.6019
-25.5,121.5,297.06516
-25.5,122.5,297.35544
-25.5,123.5,297.521
-25.5,124.5,297.52835
-25.5,125.5,297.41284
-25.5,126.5,297.17465
-25.5,127.5,296.83344
-25.5,128.5,295.79346
-25.5,129.5,294.67575
-25.5,130.5,294.85495
-25.5,131.5,295.22122
-25.5,132.5,295.2303
-25.5,133.5,295.96277
-25.5,134.5,296.78232
-25.5,135.5,297.32397
-25.5,136.5,297.59097
-25.5,137.5,298.4059
-25.5,138.5,298.8279
-25.5,139.5,299.11346
-25.5,140.5,298.99597
-25.5,141.5,298.3083
-25.5,142.5,298.01077
-25.5,143.5,297.36133
-25.5,144.5,296.4918
-25.5,145.5,295.7953
-25.5,146.5,294.3764
-25.5,147.5,292.80157
-25.5,148.5,292.39294
-25.5,149.5,293.07016
-25.5,150.5,293.24707
-25.5,151.5,292.58545
-25.5,152.5,293.64496
-24.5,-70.5,284.53043
-24.5,-69.5,285.81955
-24.5,-68.5,279.86972
-24.5,-67.5,275.73883
-24.5,-66.5,277.7125
-24.5,-65.5,286.77975
-24.5,-64.5,295.31204
-24.5,-63.5,295.81363
-24.5,-62.5,296.13428
-24.5,-61.5,296.32108
-24.5,-60.5,296.39346
-24.5,-59.5,296.47458
-24.5,-58.5,296.5601
-24.5,-57.5,296.58017
-24.5,-56.5,296.08295
-24.5,-55.5,295.04965
-24.5,-54.5,294.7992
-24.5,-53.5,294.30835
-24.5,-52.5,293.53238
-24.5,-51.5,291.99622
-24.5,-50.5,291.20877
