HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,ethnicity,religion,region,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
3,24,2,1,12,13, , , ,1,1,2,5,6,2,2,101,2,96,5,1,0.33418721353336056,0.03592654711012608,4, , ,0.4312850336375455,4
3,25,1,1,12,12, , , ,1,2,12,90, ,3,2,101,2,96,5,1,0.33418721353336056,0.5538453099563085,4, , ,1.2254341289827395,5
3,25,2,1,12,12, , , ,1,3,11,90, ,3,2,101,2,96,5,1,0.33418721353336056,0.5538453099563085,4, , ,1.2254341289827395,5
3,25,3,1,12,12, , , ,1,7,8,90, ,3,2,101,2,96,5,1,0.33418721353336056,0.5538453099563085,4, , ,1.2254341289827395,5
4,1,1,1,11,24, , , ,1,1,3,90, ,2,2,101,3,96,2,1,0.36139537605112093,-0.2675456350435412,3, , ,-0.03404307611340861,4
4,1,2,1,11,24, , , ,1,2,90, , ,2,2,101,3,96,2,1,0.36139537605112093,-0.2675456350435412,3, , ,-0.03404307611340861,4
4,2,1,1,11,24, , , ,1,1,4,90, ,3,2,101,3,96,2,1,0.36139537605112093,0.9545436418184504,5, , ,1.839843647583546,5
4,2,2,1,11,24, , , ,1,2,3,90, ,3,2,101,3,96,2,1,0.36139537605112093,0.9545436418184504,5, , ,1.839843647583546,5
4,2,3,1,14,95, , , ,2, , , , ,3,2,101,3,96,2,1,0.36139537605112093,0.9545436418184504,5, , ,1.839843647583546,5
4,3,1,1,12,14, , , ,1,2,4,90, ,2,2,101,2,96,5,1,0.36139537605112093,-0.6548312293941273,2, , ,-0.627886216113894,2
4,3,2,1,12,14, , , ,2, , , , ,2,2,101,2,96,5,1,0.36139537605112093,-0.6548312293941273,2, , ,-0.627886216113894,2
4,4,1,1,18,13, , , ,1,2,5,90, ,3,2,101,2,96,7,1,0.36139537605112093,0.3590485421004659,4, , ,0.9267431216928007,5
4,4,2,1,18,13, , , ,1,1,90, , ,3,2,101,2,96,7,1,0.36139537605112093,0.3590485421004659,4, , ,0.9267431216928007,5
4,4,3,1,18,13, , , ,1,4,90, , ,3,2,101,2,96,7,1,0.36139537605112093,0.3590485421004659,4, , ,0.9267431216928007,5
4,5,1,1,12,36, , , ,1,1,2,7,90,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,5,2,1,12,36, , , ,1,3,4,90, ,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,5,3,1,12,36, , , ,1,5,6,90, ,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,5,4,1,12,36, , , ,2, , , , ,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,5,5,1,12,36, , , ,2, , , , ,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,5,6,1,12,36, , , ,2, , , , ,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,5,7,1,12,36, , , ,2, , , , ,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,5,8,1,12,36, , , ,2, , , , ,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,5,9,1,12,36, , , ,2, , , , ,9,2,101,1,96,5,1,0.36139537605112093,1.078628153241102,5, , ,2.030108240337671,5
4,6,1,1,12,5, , , ,1,1,2,90, ,5,2,101,4,96,2,1,0.36139537605112093,1.1485280367345054,5, , ,2.137289005398131,5
4,6,2,1,12,5, , , ,1,7,90, , ,5,2,101,4,96,2,1,0.36139537605112093,1.1485280367345054,5, , ,2.137289005398131,5
4,6,3,1,12,5, , , ,1,4,5,6,90,5,2,101,4,96,2,1,0.36139537605112093,1.1485280367345054,5, , ,2.137289005398131,5
4,6,4,1,12,5, , , ,1,3,90, , ,5,2,101,4,96,2,1,0.36139537605112093,1.1485280367345054,5, , ,2.137289005398131,5
4,6,5,9,99,99,9,9, ,9, , , , ,5,2,101,4,96,2,1,0.36139537605112093,1.1485280367345054,5, , ,2.137289005398131,5
4,7,1,1,12,12, , , ,1,1,90, , ,2,2,101,3,96,1,1,0.36139537605112093,0.5933767593710396,5, , ,1.2860495517912711,5
4,7,2,1,12,12, , , ,1,2,90, , ,2,2,101,3,96,1,1,0.36139537605112093,0.5933767593710396,5, , ,1.2860495517912711,5
4,8,1,1,12,6, , , ,1,1,90, , ,3,2,101,3,96,5,1,0.36139537605112093,1.292988349494889,5, , ,2.358796768626269,5
