HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN12_5,TN12_6,TN2,HH6,HH7,helevel,ethnicity,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
2,24,4,1,21,98, ,1,10,1,4,90, , , , ,4,2,2,3,1,0.6812406886783559,0.6667780159447791,5, , ,1.4936468255387219,5
2,25,1,1,21,95, ,1,2,1,3,7,5,90, , ,3,2,2,3,1,0.6812406886783559,1.1386519809755944,5, , ,2.2207494269101984,5
2,25,2,1,21,95, ,1,2,1,6,90, , , , ,3,2,2,3,1,0.6812406886783559,1.1386519809755944,5, , ,2.2207494269101984,5
2,25,3,1,21,95, ,1,2,1,4,90, , , , ,3,2,2,3,1,0.6812406886783559,1.1386519809755944,5, , ,2.2207494269101984,5
2,28,1,1,11,12, , , ,1,1,90, , , , ,2,2,2,3,1,0.6812406886783559,-0.328799289507243,3, , ,-0.04042138399535976,3
2,28,2,1,11,12, , , ,1,4,90, , , , ,2,2,2,3,1,0.6812406886783559,-0.328799289507243,3, , ,-0.04042138399535976,3
2,29,1,1,12,15, , , ,1,1,2,3,90, , ,2,2,2,3,1,0.6812406886783559,-0.6562614200742484,2, , ,-0.5450022353046007,2
2,29,2,1,11,1, , , ,2, , , , , , ,2,2,2,3,1,0.6812406886783559,-0.6562614200742484,2, , ,-0.5450022353046007,2
2,30,1,2,13,95, , , ,1,1,2,4,90, , ,2,2,2,2,1,0.6812406886783559,-0.8321936862153156,1, , ,-0.8160932847291972,1
2,30,2,2,13,10, , , ,1,3,90, , , , ,2,2,2,2,1,0.6812406886783559,-0.8321936862153156,1, , ,-0.8160932847291972,1
3,1,1,1,12,2, , , ,1,1,2,6,90, , ,3,2,2,2,1,1.0056410166204302,-0.21536585840815442,3, , ,0.13436626895187023,4
3,1,2,1,11,10, , , ,1,4,5,90, , , ,3,2,2,2,1,1.0056410166204302,-0.21536585840815442,3, , ,0.13436626895187023,4
3,1,3,1,11,10, , , ,1,7,90, , , , ,3,2,2,2,1,1.0056410166204302,-0.21536585840815442,3, , ,0.13436626895187023,4
3,2,1,1,12,95, , , ,1,1,90, , , , ,1,2,2,2,1,1.0056410166204302,0.49027993952030596,4, , ,1.221683928630613,5
3,3,1,1,12,8, , , ,1,1,90, , , , ,2,2,2,1,1,1.0056410166204302,-0.7308250986382627,1, , ,-0.6598961448428838,1
3,3,2,1,12,8, , , ,2, , , , , , ,2,2,2,1,1,1.0056410166204302,-0.7308250986382627,1, , ,-0.6598961448428838,1
3,6,1,1,12,24, , , ,1,1,2,6,90, , ,3,2,2,2,1,1.0056410166204302,-0.5952045821839355,2, , ,-0.4509207878175288,2
3,6,2,1,12,12, , , ,1,3,4,5,90, , ,3,2,2,2,1,1.0056410166204302,-0.5952045821839355,2, , ,-0.4509207878175288,2
3,6,3,2,12,10, , , ,2, , , , , , ,3,2,2,2,1,1.0056410166204302,-0.5952045821839355,2, , ,-0.4509207878175288,2
3,7,1,1,21,95, ,1,5,1,4,90, , , , ,3,2,2,1,6,1.0056410166204302,-0.6829816467970409,1, , ,-0.5861749801457138,2
3,7,2,1,12,95, , , ,1,1,5,90, , , ,3,2,2,1,6,1.0056410166204302,-0.6829816467970409,1, , ,-0.5861749801457138,2
3,7,3,1,21,95, ,1,5,1,3,2,90, , , ,3,2,2,1,6,1.0056410166204302,-0.6829816467970409,1, , ,-0.5861749801457138,2
3,8,1,2,11,24, , , ,1,1,90, , , , ,1,2,2,3,1,1.0056410166204302,-0.7676743955978387,1, , ,-0.7166766024726409,1
3,9,1,1,21,24, ,2, ,1,1,90, , , , ,3,2,2,2,1,1.0056410166204302,-0.7604985059032192,1, , ,-0.7056193955683103,1
3,9,2,1,21,24, ,2, ,1,2,5,6,90, , ,3,2,2,2,1,1.0056410166204302,-0.7604985059032192,1, , ,-0.7056193955683103,1
3,9,3,2,21,24, ,2, ,1,3,4,90, , , ,3,2,2,2,1,1.0056410166204302,-0.7604985059032192,1, , ,-0.7056193955683103,1
3,10,1,1,11,24, , , ,1,3,4,90, , , ,2,2,2,2,1,1.0056410166204302,-0.699598887262264,1, , ,-0.6117802045600129,2
