HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
9,1,1,2,98,95,2,2, ,2, , , , ,2,1,0,3,1.178700451553267,1.4369344689442536,5,0.7658671976661305,4, , 
9,1,2,2,98,95,2,2, ,2, , , , ,2,1,0,3,1.178700451553267,1.4369344689442536,5,0.7658671976661305,4, , 
9,3,1,2,98,4,2,2, ,2, , , , ,1,1,0,4,1.178700451553267,1.7896967558605616,5,1.8378590115713518,5, , 
9,4,1,2,98,12,2,2, ,2, , , , ,2,1,0,3,1.178700451553267,1.1522261787285932,5,-0.09931870168299475,3, , 
9,4,2,2,98,8,2,2, ,2, , , , ,2,1,0,3,1.178700451553267,1.1522261787285932,5,-0.09931870168299475,3, , 
9,10,1,2,13,95, , , ,2, , , , ,2,1,0,3,1.178700451553267,1.7537537912230088,5,1.7286337193901533,5, , 
9,10,2,2,13,95, , , ,2, , , , ,2,1,0,3,1.178700451553267,1.7537537912230088,5,1.7286337193901533,5, , 
9,13,1,2,98,95,2,2, ,2, , , , ,2,1,0,4,1.178700451553267,1.857378430497758,5,2.0435334950789508,5, , 
9,13,2,2,98,95,2,2, ,2, , , , ,2,1,0,4,1.178700451553267,1.857378430497758,5,2.0435334950789508,5, , 
9,14,1,2,98,95,1,2, ,1,3,90, , ,2,1,0,3,1.178700451553267,1.5543436745106352,5,1.1226562080348517,5, , 
9,14,2,2,98,95,2,2, ,2, , , , ,2,1,0,3,1.178700451553267,1.5543436745106352,5,1.1226562080348517,5, , 
9,17,1,1,98,95,2,2, ,2, , , , ,1,1,0,4,1.178700451553267,2.0059882409037084,5,2.495136475697402,5, , 
9,22,1,1,98,24,8,2, ,1,2,3,90, ,1,1,0,2,1.178700451553267,1.0412844693488394,4,-0.4364539587292327,2, , 
10,3,1,1,98,95,8,2, ,2, , , , ,1,1,0,4,1.202907234381059,1.5094768626709023,5,0.9863126792844825,5, , 
10,5,1,1,98,95,2,2, ,2, , , , ,1,1,0,4,1.202907234381059,1.593778937284238,5,1.2424940717760309,5, , 
10,6,1,9,98,13,2,2, ,2, , , , ,1,1,0,3,1.202907234381059,1.0187717858098526,4,-0.5048666359283636,2, , 
10,7,1,1,13,95, , , ,2, , , , ,1,1,0,4,1.202907234381059,1.7236163249640502,5,1.6370504682329423,5, , 
10,9,1,1,98,95,2,2, ,2, , , , ,1,1,0,4,1.202907234381059,1.662000679305181,5,1.4498097392644762,5, , 
10,17,1,1,98,95,2,2, ,1,1,90, , ,1,1,0,3,1.202907234381059,1.1114401254818762,5,-0.22326141558300988,3, , 
10,18,1,2,98,95,2,2, ,1,1,2,3,90,1,1,0,3,1.202907234381059,1.18816429660071,5,0.009891861903158057,3, , 
10,19,1,2,98,95,8,2, ,1,1,2,90, ,1,1,0,3,1.202907234381059,1.0652252790476686,5,-0.3637014197893304,2, , 
10,22,1,1,98,24,1,2, ,1,1,2,90, ,3,1,0,4,1.202907234381059,1.7979510133628707,5,1.8629424652185387,5, , 
10,22,2,1,98,24,1,2, ,1,4,90, , ,3,1,0,4,1.202907234381059,1.7979510133628707,5,1.8629424652185387,5, , 
10,22,3,1,98,24,1,2, ,1,3,90, , ,3,1,0,4,1.202907234381059,1.7979510133628707,5,1.8629424652185387,5, , 
10,23,1,1,98,12,2,2, ,2, , , , ,1,1,0,2,1.202907234381059,0.9881168998771438,4,-0.5980222480640186,2, , 
10,25,1,1,11,95, , , ,2, , , , ,1,1,0,4,1.202907234381059,1.5139915489900908,5,1.0000321355756485,5, , 
11,4,1,1,98,98,8,2, ,1,2,1,90, ,2,1,0,3,1.1227573708938776,1.1473588267096393,5,-0.11410985627416464,3, , 
11,4,2,1,98,98,8,2, ,2, , , , ,2,1,0,3,1.1227573708938776,1.1473588267096393,5,-0.11410985627416464,3, , 
